DGS10 [%],T10YIE[%],Confirmed COVID-19 cases,Recovered COVID-19 cases,Deaths due to COVID-19 ,Initial unemployment claims (Seasonally adjusted),Weekly U.S. All Grades All Formulations Retail Gasoline Prices  (Dollars per Gallon),Weekly U.S. No 2 Diesel Retail Prices  (Dollars per Gallon)
2.66,1.7,0,0,0,220000,2.329,3.013
2.56,1.68,0,0,0,220000,2.329,3.013
2.67,1.76,0,0,0,220000,2.329,3.013
2.67,1.76,0,0,0,220000,2.329,3.013
2.67,1.76,0,0,0,216000,2.329,3.013
2.7,1.78,0,0,0,216000,2.329,3.013
2.73,1.82,0,0,0,216000,2.338,2.976
2.74,1.83,0,0,0,216000,2.338,2.976
